centreline_id,direction,location,class_type,dt,volume_daily
10923449,Nortbound,SHERBOURNE ST N/B N OF WELLESLEY ST E,Cyclists,2015-02-27,384
10923449,Nortbound,SHERBOURNE ST N/B N OF WELLESLEY ST E,Cyclists,2015-02-26,669
10923449,Nortbound,SHERBOURNE ST N/B N OF WELLESLEY ST E,Cyclists,2015-02-25,238
10923449,Nortbound,SHERBOURNE ST N/B N OF WELLESLEY ST E,Cyclists,2015-02-24,248
10923449,Nortbound,SHERBOURNE ST N/B N OF WELLESLEY ST E,Cyclists,2015-02-23,216
10923449,Nortbound,SHERBOURNE ST N/B N OF WELLESLEY ST E,Cyclists,2015-02-22,236
10923449,Nortbound,SHERBOURNE ST N/B N OF WELLESLEY ST E,Cyclists,2015-02-21,174
10923449,Nortbound,SHERBOURNE ST N/B N OF WELLESLEY ST E,Cyclists,2015-02-20,532
10923449,Nortbound,SHERBOURNE ST N/B N OF WELLESLEY ST E,Cyclists,2015-02-19,386
10923449,Nortbound,SHERBOURNE ST N/B N OF WELLESLEY ST E,Cyclists,2015-02-18,215
10923449,Nortbound,SHERBOURNE ST N/B N OF WELLESLEY ST E,Cyclists,2015-02-17,383
10923449,Nortbound,SHERBOURNE ST N/B N OF WELLESLEY ST E,Cyclists,2015-02-16,1030
10923449,Nortbound,SHERBOURNE ST N/B N OF WELLESLEY ST E,Cyclists,2015-02-15,885
10923449,Nortbound,SHERBOURNE ST N/B N OF WELLESLEY ST E,Cyclists,2015-02-14,428
10923449,Nortbound,SHERBOURNE ST N/B N OF WELLESLEY ST E,Cyclists,2015-02-13,410
10923449,Nortbound,SHERBOURNE ST N/B N OF WELLESLEY ST E,Cyclists,2015-02-12,445
10923449,Nortbound,SHERBOURNE ST N/B N OF WELLESLEY ST E,Cyclists,2015-02-11,575
10923449,Nortbound,SHERBOURNE ST N/B N OF WELLESLEY ST E,Cyclists,2015-02-10,524
10923449,Nortbound,SHERBOURNE ST N/B N OF WELLESLEY ST E,Cyclists,2015-02-09,655
10923449,Nortbound,SHERBOURNE ST N/B N OF WELLESLEY ST E,Cyclists,2015-02-08,761
10923449,Nortbound,SHERBOURNE ST N/B N OF WELLESLEY ST E,Cyclists,2015-02-07,843
10923449,Nortbound,SHERBOURNE ST N/B N OF WELLESLEY ST E,Cyclists,2015-02-06,489
10923449,Nortbound,SHERBOURNE ST N/B N OF WELLESLEY ST E,Cyclists,2015-02-05,422
10923449,Nortbound,SHERBOURNE ST N/B N OF WELLESLEY ST E,Cyclists,2015-02-04,444
10923449,Nortbound,SHERBOURNE ST N/B N OF WELLESLEY ST E,Cyclists,2015-02-03,354
10923449,Nortbound,SHERBOURNE ST N/B N OF WELLESLEY ST E,Cyclists,2015-02-02,431
10923449,Nortbound,SHERBOURNE ST N/B N OF WELLESLEY ST E,Cyclists,2015-02-01,323
10923449,Nortbound,SHERBOURNE ST N/B N OF WELLESLEY ST E,Cyclists,2015-01-31,256
10923449,Nortbound,SHERBOURNE ST N/B N OF WELLESLEY ST E,Cyclists,2015-01-30,313
10923449,Nortbound,SHERBOURNE ST N/B N OF WELLESLEY ST E,Cyclists,2015-01-29,612
10923449,Nortbound,SHERBOURNE ST N/B N OF WELLESLEY ST E,Cyclists,2015-01-28,1009
10923449,Nortbound,SHERBOURNE ST N/B N OF WELLESLEY ST E,Cyclists,2015-01-27,856
10923449,Nortbound,SHERBOURNE ST N/B N OF WELLESLEY ST E,Cyclists,2015-01-26,920
10923449,Nortbound,SHERBOURNE ST N/B N OF WELLESLEY ST E,Cyclists,2015-01-25,663
10923449,Nortbound,SHERBOURNE ST N/B N OF WELLESLEY ST E,Cyclists,2015-01-24,1184
10923449,Nortbound,SHERBOURNE ST N/B N OF WELLESLEY ST E,Cyclists,2015-01-23,753
10923449,Nortbound,SHERBOURNE ST N/B N OF WELLESLEY ST E,Cyclists,2015-01-22,943
10923449,Nortbound,SHERBOURNE ST N/B N OF WELLESLEY ST E,Cyclists,2015-01-21,871
10923449,Nortbound,SHERBOURNE ST N/B N OF WELLESLEY ST E,Cyclists,2015-01-20,546
10923449,Nortbound,SHERBOURNE ST N/B N OF WELLESLEY ST E,Cyclists,2015-01-19,692
10923449,Nortbound,SHERBOURNE ST N/B N OF WELLESLEY ST E,Cyclists,2015-01-18,345
10923449,Nortbound,SHERBOURNE ST N/B N OF WELLESLEY ST E,Cyclists,2015-01-17,696
10923449,Nortbound,SHERBOURNE ST N/B N OF WELLESLEY ST E,Cyclists,2015-01-16,508
10923449,Nortbound,SHERBOURNE ST N/B N OF WELLESLEY ST E,Cyclists,2015-01-15,509
10923449,Nortbound,SHERBOURNE ST N/B N OF WELLESLEY ST E,Cyclists,2015-01-14,647
10923449,Nortbound,SHERBOURNE ST N/B N OF WELLESLEY ST E,Cyclists,2015-01-13,581
10923449,Nortbound,SHERBOURNE ST N/B N OF WELLESLEY ST E,Cyclists,2015-01-12,637
10923449,Nortbound,SHERBOURNE ST N/B N OF WELLESLEY ST E,Cyclists,2015-01-11,717
10923449,Nortbound,SHERBOURNE ST N/B N OF WELLESLEY ST E,Cyclists,2015-01-10,540
10923449,Nortbound,SHERBOURNE ST N/B N OF WELLESLEY ST E,Cyclists,2015-01-09,676
